league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2526,Newcastle United,Alex Murphy,IRL,DF,21-295,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Anthony Elanga,SWE,"FW,MF",23-354,2002,28,13,1222,13.6,0,1,1,0,0,0,0,0,0.0,0.07,0.07,0.0,0.07
ENG-Premier League,2526,Newcastle United,Anthony Gordon,ENG,FW,25-051,2001,26,24,1795,19.9,6,2,8,3,3,3,3,1,0.3,0.1,0.4,0.15,0.25
ENG-Premier League,2526,Newcastle United,Bruno Guimarães,BRA,MF,28-151,1997,23,22,2017,22.4,9,4,13,7,2,2,5,0,0.4,0.18,0.58,0.31,0.49
ENG-Premier League,2526,Newcastle United,Dan Burn,ENG,DF,33-342,1992,23,21,1813,20.1,0,2,2,0,0,0,9,1,0.0,0.1,0.1,0.0,0.1
ENG-Premier League,2526,Newcastle United,Emil Krafth,SWE,DF,31-257,1994,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Fabian Schär,SUI,DF,34-117,1991,16,11,1091,12.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Harvey Barnes,ENG,"FW,MF",28-128,1997,31,17,1679,18.7,5,0,5,5,0,0,1,0,0.27,0.0,0.27,0.27,0.27
ENG-Premier League,2526,Newcastle United,Jacob Murphy,ENG,"FW,MF",31-051,1995,27,15,1335,14.8,3,1,4,3,0,0,1,0,0.2,0.07,0.27,0.2,0.27
ENG-Premier League,2526,Newcastle United,Jacob Ramsey,ENG,MF,24-323,2001,22,11,1088,12.1,2,1,3,2,0,0,5,1,0.17,0.08,0.25,0.17,0.25
ENG-Premier League,2526,Newcastle United,Jamaal Lascelles,ENG,DF,32-156,1993,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Joe Willock,ENG,MF,26-239,1999,20,7,703,7.8,0,1,1,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13
ENG-Premier League,2526,Newcastle United,Joelinton,BRA,MF,29-245,1996,25,21,1771,19.7,2,1,3,2,0,0,10,0,0.1,0.05,0.15,0.1,0.15
ENG-Premier League,2526,Newcastle United,Kieran Trippier,ENG,DF,35-209,1990,18,17,1456,16.2,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2526,Newcastle United,Lewis Hall,ENG,DF,21-220,2004,25,20,1843,20.5,1,1,2,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1
ENG-Premier League,2526,Newcastle United,Lewis Miley,ENG,"MF,DF",19-350,2006,20,12,1226,13.6,1,4,5,1,0,0,0,0,0.07,0.29,0.37,0.07,0.37
ENG-Premier League,2526,Newcastle United,Malick Thiaw,GER,DF,24-251,2001,29,27,2425,26.9,4,0,4,4,0,0,4,0,0.15,0.0,0.15,0.15,0.15
